// PacMan
// Criação:     03 Jan 2013
// Atualização: 25 Ago 2021
// Descrição:   Nível 1 (Food)
//
// Informações de posição da comida
// posX posY


//Linha 1 teste

//60 80 SPECIAL
100 80
140 80
180 80
220 80
260 80
300 80
340 80
380 80
425 80
//470 80
//500 80
540 80
580 80
620 80
660 80
700 80
740 80
780 80
820 80
860 80
900 80

//Linha 2 teste

60	171
100 171
140 171
180 171
220 171
260 171
300 171
340 171
380 171
425 171

540 171
580 171
620 171
660 171
700 171
740 171
780 171
820 171
860 171
900 171

//Linha 3 teste

60	271
100 271
155 271
//180 271
//220 271
250 271
//300 271
340 271
380 271
425 271	
460 271	
500 271	
540 271
580 271
620 271
//660 271
710 271
//740 271
//780 271
810 271
860 271
900 271

//Linha 4 teste

60	356
//100 356
//155 356 OBSTACLE
250 356
340 356
//380 356
//425 356	
//460 356	
//500 356	
//540 356
//580 356
620 356 
710 356
//810 356 OBSTACLE
//860 356
900 356

//Linha 5

60	439
//100 439
155 439
180 439
220 439
250 439
340 439
380 439
425 439	
460 439	
500 439	
540 439
580 439
620 439
710 439
740 439
780 439
810 439
//860 439
900 439

//Linha 6

60	546
100 546
140 546
180 546
220 546
260 546
300 546
340 546
380 546
425 546
540 546
580 546
620 546
660 546
700 546
740 546
780 546
820 546
860 546
900 546

//Linha 7

60	630
100 630
140 630
180 630
220 630
260 630
300 630
340 630
380 630
425 630
540 630
580 630
620 630
660 630
700 630
740 630
780 630
820 630
860 630
//900 630 SPECIAL
