// PacMan
// Criação:     03 Jan 2013
// Atualização: 25 Ago 2021
// Descrição:   Nível 2 (Food)
//
// Informações de posição da comida
// posX posY

 //linha 1
 40 37
 80 37
 120 37
 160 37
 200 37
 240 37
 280 37
 320 37
 360 37
 400 37
 440 37
 520 37
 560 37
 600 37
 640 37
 680 37
 720 37
 760 37
 800 37
 840 37
 880 37
 920 37
 

  //linha 2
 40  107
 80  107
 120 107
 160 107 
 //200 107
 240 107
 280 107
 320 107
 360 107
 400 107
 440 107
 520 107
 560 107
 600 107
 640 107
 680 107
 720 107
 //760 107
 800 107
 840 107
 880 107
 920 107

 //linha 3
 //40  178
 66  178
 120 178
 160 178
 200 178
 240 178
 280 178
 320 178
 360 178
 400 178
 440 178
 520 178
 560 178
 600 178
 640 178
 680 178
 720 178
 760 178
 800 178
 840 178
 890 178
 //920 178

 //linha 4
 //40  240
 66  240
 //120 240
 160 240
 200 240
 240 240
 280 240
 //320 240
 360 240
 //400 240
 //440 240
 //520 240
 //560 240
 600 240
 //640 240
 680 240
 720 240
 760 240
 800 240
 //840 240
 890 240
 //920 240

 //linha 5
 //40  320
 66  320
 //120 320
 //160 320 SPECIAL
 //200 320
 //240 320
 280 320
 //320 320
 360 300
 400 300
 440 300
 520 300
 560 300
 600 300
 //640 320
 680 320
 //720 320
 //760 320
 800 320
 //840 320
 890 320
 //920 320

 //linha 6
 //40  390
 66  390
 //120 390
 160 390
 //200 390
 //240 390
 280 390
 //320 390
 360 420
 400 420
 440 420
 520 420
 560 420
 600 420
 //640 390
 680 390
 //720 390
 //760 390
 //800 390 SPECIAL
 //840 390
 890 390
 //920 390

 //linha 7
 //40  470
 66  470
 //120 470
 160 470
 200 470
 240 470
 280 470
 //320 470
 360 470
 //400 470
 //440 470
 //520 470
 //560 470
 600 470
 //640 470
 680 470
 720 470
 760 470
 800 470
 //840 470
 890 470
 //920 470

 //linha 8
 //40  541
 66  541
 120 541
 160 541
 200 541
 240 541
 280 541
 320 541
 360 541
 400 541
 440 541
 520 541
 560 541
 600 541
 640 541
 680 541
 720 541
 760 541
 800 541
 840 541
 890 541
 //920 541

 //linha 9
 40  615
 80  615
 120 615
 160 615
 //200 610
 240 615
 280 615
 320 615
 360 615
 400 615
 440 615
 520 615
 560 615
 600 615
 640 615
 680 615
 720 615 
 //760 610
 800 615
 840 615
 880 615
 920 615

 //linha 10
 40  680
 80  680
 120 680
 160 680
 200 680
 240 680
 280 680
 320 680
 360 680
 400 680
 440 680
 520 680
 560 680
 600 680
 640 680
 680 680
 720 680
 760 680
 800 680
 840 680
 880 680
 920 680
	 
