// Descrição:   Nível 1 (Pivôs)
//
// Informações dos pivôs:
// left right up down posX posY

// linha 1
0 1 0 1 60 86
1 1 1 0 365 86
1 0 0 1 433 86
0 1 0 1 530 86
1 1 1 0 591 86
1 0 0 1 897 86

//linha 2
1 1 1 1 60 177
1 1 0 1 245 177
1 0 1 1 433 177
0 1 1 1 530 177
1 1 0 1 711 177
1 1 1 1 897 177

// linha 3
0 1 1 1 60 277
1 0 0 1 155 277
0 1 0 1 340 277
1 1 1 0 433 277
1 1 0 0 475 277
1 1 1 0 530 277
1 0 0 1 615 277
0 1 0 1 805 277
1 0 1 1 897 277


// linha 4
0 1 1 1 245 362
1 0 1 1 340 362
0 1 1 1 615 362
1 0 1 1 711 362

    
// linha 5 
0 1 1 0 155 445
1 0 1 1 245 445
0 1 1 0 340 445
1 1 0 1 433 445
1 1 0 1 530 445
1 1 0 0 480 445
1 0 1 0 615 445
0 1 1 1 711 445
1 0 1 0 805 445


// linha 6
1 1 1 1 60 550
1 1 1 0 245 550
1 0 1 1 433 550
0 1 1 1 530 550
1 1 1 0 711 550
1 1 1 1 897 550

// linha 7
0 1 1 0 60 636
1 1 0 1 365 636
1 0 1 0 433 636
0 1 1 0 530 636
1 1 0 1 591 636
1 0 1 0 897 636
