// PacMan
// Criação:     01 Jan 2013
// Atualização: 25 Ago 2021
// Descrição:   Nível 2 (Pivôs)
//
// Informações dos pivôs:
// left right up down posX posY

// linha 1
1 1 1 0 110  37
1 1 0 1 160  37
1 1 0 1 240 37
1 0 0 0 430 37
0 1 0 0 530 37
1 1 0 1 716 37
1 1 0 1 800 37
1 1 1 0 845 37

// linha 2
1 0 1 0 160 107
0 1 1 0 240 107
1 1 0 1 479 107
1 0 1 0 716 107
0 1 1 0 800 107

//linha 3
0 1 0 1 73 178
1 1 0 1 160 178
1 1 0 1 364 178
1 1 1 1 479 178
1 1 0 1 590 178
1 1 0 0 800 178
1 0 0 1 885 178

// linha 4

0 1 1 1 160 240
1 0 0 1 276 240
0 0 1 0 479 216
0 1 0 1 680 240
1 0 1 1 800 240

// linha 5

0 0 1 0 160 320
0 1 0 1 236 320
1 0 1 0 276 320
0 1 1 1 364 300
1 1 0 0 479 300
1 0 1 1 590 300
0 1 1 0 680 320
1 0 0 1 720 320
0 0 1 0 800 320


// linha 6

0 0 0 1 160 390
0 1 1 0 236 390
1 0 0 1 276 390
0 1 1 1 364 420
1 1 0 0 479 420
1 0 1 1 590 420
0 1 0 1 680 390
1 0 1 0 720 390
0 0 0 1 800 390

    
    // linha 7

0 1 1 1 160 470
1 0 1 0 276 470
0 0 0 1 479 500
0 1 1 0 680 470
1 0 1 1 800 470

// linha 8
0 1 1 0 73  541
1 1 1 0 160 541
1 1 1 0 364 541
1 1 1 1 479 541
1 1 1 0 590 541
1 1 1 0 800 541
1 0 1 0 885 541

// linha 9
1 0 0 1 160 610
0 1 0 1 240 610
1 1 1 0 479 610
1 0 0 1 716 610
0 1 0 1 800 610

//linha 10
1 1 0 1 110 675
1 1 1 0 160 675
1 1 1 0 240 675
1 0 0 0 430 675
0 1 0 0 530 675
1 1 1 0 716 675
1 1 1 0 800 675
1 1 0 1 845 675
