// PacMan
// Criação:     01 Jan 2013
// Atualização: 25 Ago 2021
// Descrição:   Nível 1 (Pivôs)
//
// Informações dos pivôs:
// left right up down posX posY

// linha 1
0 1 0 1 65 80
1 1 1 0 360 80
1 0 0 1 420 80
0 1 0 1 520 80
1 1 1 0 580 80
1 0 0 1 880 80

//linha 2
1 1 1 1 65 170
1 1 0 1 245 170
1 0 1 1 420 170
0 1 1 1 520 170
1 1 0 1 700 170
1 1 1 1 880 170

// linha 3
0 1 1 1 65 270
1 0 0 1 150 270
0 1 0 1 340 270
1 1 1 0 420 270
1 1 0 0 475 270
1 1 1 0 520 270
1 0 0 1 600 270
0 1 0 1 790 270
1 0 1 1 880 270


// linha 4
0 1 1 1 245 350
1 0 1 1 340 350
0 1 1 1 600 350
1 0 1 1 700 350

    
// linha 5 
0 1 1 0 150 435
1 0 1 1 245 435
0 1 1 0 340 435
1 1 0 1 420 435
1 1 0 1 520 435
1 1 0 1 520 435
1 0 1 0 600 435
0 1 1 1 700 435
1 0 1 0 790 435


// linha 6
1 1 1 1 65 530
1 1 1 0 245 530
1 0 1 1 420 530
0 1 1 1 520 530
1 1 1 0 700 530
1 1 1 1 880 530

// linha 7
0 1 1 0 65 620
1 1 0 1 360 620
1 0 1 0 420 620
0 1 1 0 520 620
1 1 0 1 580 620
1 0 1 0 880 620
